Line	Spkr	StTime	Content	EnTime
1	ATL_int_01	0.7526	Hey what's going on?	2.5113
2	ATL_int_01	2.5113	(pause 0.63)	3.1447
3	ATL_int_01	3.1447	I'm here with	4.1659
4	ATL_int_01	4.1659	(pause 0.92)	5.0830
5	ATL_int_01	5.0830	/RD-NAME-2/.	5.8536
6	ATL_int_01	5.8536	(pause 0.46)	6.3122
7	ATL_int_01	6.3122	This is /RD-NAME-2/ by the way.	7.8447
8	ATL_int_01	7.8447	(pause 0.95)	8.7996
9	ATL_int_01	8.7996	Um, /RD-NAME-2/, if you could	10.2415
10	ATL_int_01	10.2415	(pause 0.29)	10.5346
11	ATL_int_01	10.5346	say hello.	11.2899
12	ATL_se0_ag2_f_02	12.1424	Hello.	12.8462
13	ATL_int_01	13.4581	Okay,	13.9629
14	ATL_int_01	13.9629	(pause 0.26)	14.2276
15	ATL_int_01	14.2276	mic seems to be picking you up well.	15.9910
16	ATL_int_01	15.9910	(pause 0.85)	16.8419
17	ATL_int_01	16.8419	Um,	17.2304
18	ATL_se0_ag2_f_02	17.3060	Mm.	17.6180
19	ATL_int_01	17.6464	we'll go	18.2279
20	ATL_int_01	18.2279	(pause 0.70)	18.9323
21	ATL_int_01	18.9323	and, um, continue with this interview.	21.2062
22	ATL_int_01	21.2062	(pause 1.02)	22.2273
23	ATL_int_01	22.2273	Um,	22.9128
24	ATL_int_01	22.9128	(pause 0.87)	23.7874
25	ATL_int_01	23.7874	what is your	24.5446
26	ATL_int_01	24.5446	(pause 0.17)	24.7195
27	ATL_int_01	24.7195	name?	25.1190
28	ATL_se0_ag2_f_02	26.1769	/RD-NAME-5/.	27.4110
29	ATL_int_01	28.3082	Okay,	28.8845
30	ATL_int_01	28.8845	(pause 0.35)	29.2296
31	ATL_int_01	29.2296	and, um,	29.9990
32	ATL_int_01	29.9990	(pause 1.03)	31.0299
33	ATL_int_01	31.0299	what sex are you?	32.0163
34	ATL_se0_ag2_f_02	32.7524	Female.	33.5239
35	ATL_int_01	34.1137	Okay, what's your ethnicity?	36.0852
36	ATL_se0_ag2_f_02	37.5232	Hm.	37.8079
37	ATL_se0_ag2_f_02	37.8079	(pause 1.02)	38.8266
38	ATL_se0_ag2_f_02	38.8266	I'm black.	39.3480
39	ATL_int_01	40.1327	Okay,	40.6222
40	ATL_int_01	40.6222	(pause 0.77)	41.3905
41	ATL_int_01	41.3905	um,	42.1092
42	ATL_int_01	42.1092	(pause 0.19)	42.3035
43	ATL_int_01	42.3035	what year were you born?	43.4055
44	ATL_se0_ag2_f_02	43.7487	Nineteen eighty.	44.7995
45	ATL_int_01	45.4091	Okay,	46.0335
46	ATL_int_01	46.0335	(pause 0.22)	46.2510
47	ATL_int_01	46.2510	um, your hometown?	47.5007
48	ATL_se0_ag2_f_02	48.5793	St. Petersburg, Florida.	50.0761
49	ATL_int_01	51.2283	Okay,	51.8917
50	ATL_int_01	51.8917	(pause 0.38)	52.2746
51	ATL_int_01	52.2746	your neighborhood?	53.1910
52	ATL_se0_ag2_f_02	54.3224	/RD-ADDRESS-5/.	55.3105
53	ATL_int_01	56.2563	Okay, how long you been in	57.6338
54	ATL_int_01	57.6338	(pause 0.14)	57.7741
55	ATL_int_01	57.7741	the Atlanta area?	58.8657
56	ATL_se0_ag2_f_02	59.2027	Twenty-three years.	60.9370
57	ATL_int_01	61.5847	Okay, so basically you a ATLien.	63.7499
58	ATL_se0_ag2_f_02	63.7820	I am not.	64.7088
59	ATL_int_01	64.8476	Alright,	65.3430
60	ATL_int_01	65.3430	(pause 0.16)	65.4990
61	ATL_int_01	65.4990	um,	66.1144
62	ATL_int_01	66.1144	(pause 1.12)	67.2303
63	ATL_int_01	67.2303	where were your parent's birthplace?	69.2561
64	ATL_se0_ag2_f_02	70.3106	My father was born in St. Petersburg, Florida, and my mother was born in Arlington, Georgia.	75.6959
65	ATL_int_01	76.6745	Okay.	77.3234
66	ATL_int_01	77.3234	(pause 0.80)	78.1254
67	ATL_int_01	78.1254	And how do you know	79.3077
68	ATL_int_01	79.3077	(pause 0.66)	79.9661
69	ATL_int_01	79.9661	the interviewer?	80.6929
70	ATL_se0_ag2_f_02	82.6164	The interviewer	83.7665
71	ATL_se0_ag2_f_02	83.7665	(pause 0.52)	84.2866
72	ATL_se0_ag2_f_02	84.2866	was my old neighbor.	85.8714
73	ATL_se0_ag2_f_02	85.8714	(pause 2.48)	88.3533
74	ATL_se0_ag2_f_02	88.3533	And now	89.2563
75	ATL_se0_ag2_f_02	89.2563	(pause 0.30)	89.5588
76	ATL_se0_ag2_f_02	89.5588	he's my friend and producer.	91.6539
77	ATL_int_01	92.3678	Oh cool.	92.9103
78	ATL_se0_ag2_f_02	92.9251	Sometimes.	93.6820
79	ATL_int_01	94.2298	Mm-hm.	94.7173
80	ATL_int_01	94.7173	(pause 3.18)	97.8950
81	ATL_int_01	97.8950	Cool, cool, cool.	99.1078
82	ATL_int_01	99.1078	(pause 0.60)	99.7075
83	ATL_int_01	99.7075	Okay,	100.2257
84	ATL_int_01	100.2257	(pause 0.17)	100.3959
85	ATL_int_01	100.3959	um,	101.0293
86	ATL_int_01	101.0293	(pause 2.05)	103.0813
87	ATL_int_01	103.0813	let's see.	103.5972
88	ATL_int_01	103.5972	(pause 2.78)	106.3724
89	ATL_int_01	106.3724	So I know you said that your friend sometime produce for you or whatnot.	109.8714
90	ATL_int_01	109.8714	(pause 0.35)	110.2212
91	ATL_int_01	110.2212	So	110.6845
92	ATL_int_01	110.6845	(pause 1.10)	111.7805
93	ATL_int_01	111.7805	you're a artist? What type of music do you make?	113.8955
94	ATL_se0_ag2_f_02	114.5808	I make pop music and hip hop	117.0013
95	ATL_se0_ag2_f_02	117.0013	(pause 0.20)	117.2045
96	ATL_se0_ag2_f_02	117.2045	slash rap music.	118.9962
97	ATL_int_01	119.8301	Mm.	120.1356
98	ATL_int_01	120.1356	(pause 1.74)	121.8771
99	ATL_int_01	121.8771	When did you know you had a passion for making music?	124.1406
100	ATL_se0_ag2_f_02	125.1380	Um,	125.7337
101	ATL_se0_ag2_f_02	125.7337	(pause 0.24)	125.9748
102	ATL_se0_ag2_f_02	125.9748	when I was a kid,	127.0914
103	ATL_se0_ag2_f_02	127.0914	(pause 0.56)	127.6539
104	ATL_se0_ag2_f_02	127.6539	I was addicted to it.	128.8405
105	ATL_int_01	130.9301	What's a song from back in the day that you was really	133.5578
106	ATL_int_01	133.5578	(pause 0.15)	133.7040
107	ATL_int_01	133.7040	rocking with?	134.3394
108	ATL_se0_ag2_f_02	135.9467	Um,	136.3722
109	ATL_se0_ag2_f_02	136.3722	(pause 0.21)	136.5850
110	ATL_se0_ag2_f_02	136.5850	Armed Robbery	137.5919
111	ATL_se0_ag2_f_02	137.5919	(pause 0.23)	137.8236
112	ATL_se0_ag2_f_02	137.8236	by Eightball and MJG.	139.6459
113	ATL_int_01	139.7012	<laugh>	140.4623
114	ATL_int_01	140.4623	(pause 1.78)	142.2467
115	ATL_int_01	142.2467	<laugh>	142.6228
116	ATL_int_01	142.6228	(pause 0.60)	143.2232
117	ATL_int_01	143.2232	Okay.	143.7952
118	ATL_int_01	143.7952	(pause 0.79)	144.5870
119	ATL_int_01	144.5870	I haven't heard that song before, but	146.4443
120	ATL_int_01	146.4443	(pause 0.60)	147.0441
121	ATL_int_01	147.0441	I guess it's	147.6678
122	ATL_int_01	147.6678	(pause 1.35)	149.0217
123	ATL_int_01	149.0217	probably cool if it came from Eightball and MJG. I like some of they work.	152.5912
124	ATL_se0_ag2_f_02	152.9481	Mm yeah, one of my all time favorites.	155.2468
125	ATL_int_01	155.5730	Is it a-	156.2288
126	ATL_int_01	156.2288	(pause 1.12)	157.3466
127	ATL_int_01	157.3466	is there a hook or	158.6209
128	ATL_int_01	158.6209	(pause 0.14)	158.7565
129	ATL_int_01	158.7565	a line from that song you wanna	160.3688
130	ATL_int_01	160.3688	(pause 0.32)	160.6930
131	ATL_int_01	160.6930	sing for us?	161.4402
132	ATL_se0_ag2_f_02	161.4415	Definitely not.	162.5626
133	ATL_int_01	162.6683	Okay,	163.1778
134	ATL_int_01	163.1778	(pause 0.22)	163.4000
135	ATL_int_01	163.4000	well,	163.6979
136	ATL_se0_ag2_f_02	163.9815	Not very inspirational.	165.5605
137	ATL_int_01	165.7645	I'll YouTube it and check it out	167.3697
138	ATL_int_01	167.3697	(pause 0.16)	167.5327
139	ATL_int_01	167.5327	my leisure time.	168.5523
140	ATL_se0_ag2_f_02	168.9190	Thanks.	169.4494
141	ATL_int_01	169.8127	Um, let's see	170.8845
142	ATL_int_01	170.8845	(pause 1.74)	172.6275
143	ATL_int_01	172.6275	So,	173.1545
144	ATL_int_01	173.1545	(pause 1.53)	174.6892
145	ATL_int_01	174.6892	you've been here twenty-three years in Atlanta,	177.4647
146	ATL_int_01	177.4647	(pause 0.17)	177.6346
147	ATL_int_01	177.6346	but before that,	178.6467
148	ATL_int_01	178.6467	(pause 1.02)	179.6636
149	ATL_int_01	179.6636	you was in, um,	180.6417
150	ATL_int_01	180.6417	(pause 0.45)	181.0908
151	ATL_int_01	181.0908	what, Florida?	181.7701
152	ATL_se0_ag2_f_02	182.8754	Yes. Directly before I came here, I was in Gainesville, Florida.	187.0711
153	ATL_int_01	187.5709	Mm.	187.9134
154	ATL_int_01	187.9134	(pause 4.22)	192.1327
155	ATL_int_01	192.1327	Was it, um,	192.9712
156	ATL_int_01	192.9712	(pause 0.12)	193.0877
157	ATL_int_01	193.0877	tough	193.5371
158	ATL_int_01	193.5371	(pause 0.18)	193.7215
159	ATL_int_01	193.7215	making that adjustment to a different area?	196.3037
160	ATL_se0_ag2_f_02	196.5466	Definitely, um,	198.3755
161	ATL_se0_ag2_f_02	198.3755	(pause 0.64)	199.0149
162	ATL_se0_ag2_f_02	199.0149	yeah,	199.5371
163	ATL_se0_ag2_f_02	199.5371	(pause 0.28)	199.8160
164	ATL_se0_ag2_f_02	199.8160	I didn't wanna leave Florida.	201.0585
165	ATL_se0_ag2_f_02	201.0585	(pause 0.29)	201.3530
166	ATL_se0_ag2_f_02	201.3530	I still wanna go back.	202.5324
167	ATL_int_01	203.7474	Okay.	204.2863
168	ATL_int_01	204.2863	(pause 1.35)	205.6335
169	ATL_int_01	205.6335	But twenty-three years in Atlanta, it must be some good things about it.	209.6023
170	ATL_se0_ag2_f_02	211.2253	Can't say that I agree to that. Um,	213.6688
171	ATL_se0_ag2_f_02	213.6688	(pause 1.05)	214.7155
172	ATL_se0_ag2_f_02	214.7155	<laugh>	215.0871
173	ATL_se0_ag2_f_02	215.0871	(pause 0.19)	215.2800
174	ATL_se0_ag2_f_02	215.2800	I ended up having children and, you know,	217.8430
175	ATL_se0_ag2_f_02	217.8430	(pause 0.75)	218.5964
176	ATL_se0_ag2_f_02	218.5964	didn't wanna	219.1920
177	ATL_se0_ag2_f_02	219.1920	(pause 0.40)	219.5885
178	ATL_se0_ag2_f_02	219.5885	transition them back and forth from schools, cause I	222.8140
179	ATL_se0_ag2_f_02	222.8140	(pause 0.08)	222.8987
180	ATL_se0_ag2_f_02	222.8987	moved a lot when I was young.	224.7852
181	ATL_int_01	224.8939	Mm-hm.	225.3005
182	ATL_se0_ag2_f_02	226.1087	And my son has cerebral palsy, so he's	229.4302
183	ATL_se0_ag2_f_02	229.4302	(pause 0.34)	229.7688
184	ATL_se0_ag2_f_02	229.7688	in a special needs program, so	231.9404
185	ATL_int_01	232.0766	Mm-hm.	232.4359
186	ATL_se0_ag2_f_02	232.8128	kind of like to keep him where he's comfortable.	235.0644
187	ATL_se0_ag2_f_02	235.0644	(pause 0.27)	235.3386
188	ATL_se0_ag2_f_02	235.3386	And	235.7971
189	ATL_se0_ag2_f_02	235.7971	(pause 1.10)	236.8986
190	ATL_se0_ag2_f_02	236.8986	when he gets out of school, I'm definitely leaving.	239.1998
191	ATL_int_01	239.7501	Okay.	240.2938
192	ATL_int_01	240.2938	(pause 1.99)	242.2841
193	ATL_int_01	242.2841	Mm.	242.6292
194	ATL_int_01	242.6292	(pause 1.78)	244.4123
195	ATL_int_01	244.4123	I know you mentioned your son.	245.7974
196	ATL_int_01	245.7974	(pause 0.20)	245.9960
197	ATL_int_01	245.9960	How many kids do you have?	247.2724
198	ATL_se0_ag2_f_02	247.9626	I have four kids, two daughters and	250.2298
199	ATL_se0_ag2_f_02	250.2298	(pause 0.09)	250.3149
200	ATL_se0_ag2_f_02	250.3149	twin sons.	251.4341
201	ATL_int_01	252.1472	Oh, that's beautiful.	253.0880
202	ATL_se0_ag2_f_02	253.4804	Thank you.	254.1091
203	ATL_int_01	257.4493	What's- how's your relationship with, um, I guess your immediate family?	261.5085
204	ATL_se0_ag2_f_02	262.1057	<ts>	262.2593
205	ATL_se0_ag2_f_02	262.2593	(pause 0.85)	263.1141
206	ATL_se0_ag2_f_02	263.1141	My immediate family.	264.8885
207	ATL_se0_ag2_f_02	264.8885	(pause 0.36)	265.2503
