Line	Spkr	StTime	Content	EnTime
1	ATL_int_01	0.8713	Can you tell me your name?	1.9540
2	ATL_se0_ag2_m_02	2.9491	Uh, (breathy)	3.8242
3	ATL_se0_ag2_m_02	3.8242	(pause 1.33)	5.1544
4	ATL_se0_ag2_m_02	5.1544	the-	5.4122
5	ATL_se0_ag2_m_02	5.4122	(pause 0.71)	6.1185
6	ATL_se0_ag2_m_02	6.1185	I was named	7.1703
7	ATL_se0_ag2_m_02	7.1703	(pause 0.76)	7.9334
8	ATL_se0_ag2_m_02	7.9334	by the government /RD-NAME-3/.	9.8462
9	ATL_int_01	10.3501	Okay.	10.6955
10	ATL_se0_ag2_m_02	10.7316	Um, but I've renamed myself	12.6395
11	ATL_se0_ag2_m_02	12.6395	(pause 0.07)	12.7062
12	ATL_se0_ag2_m_02	12.7062	/RD-NAME-3/	13.4065
13	ATL_se0_ag2_m_02	13.4065	(pause 0.25)	13.6529
14	ATL_se0_ag2_m_02	13.6529	as my stage name.	14.7583
15	ATL_se0_ag2_m_02	14.7583	(pause 0.18)	14.9336
16	ATL_se0_ag2_m_02	14.9336	Uh,	15.3976
17	ATL_se0_ag2_m_02	15.3976	(pause 0.26)	15.6554
18	ATL_se0_ag2_m_02	15.6554	the rebirth,	16.2779
19	ATL_se0_ag2_m_02	16.2779	(pause 0.78)	17.0564
20	ATL_se0_ag2_m_02	17.0564	the resurrection.	17.7473
21	ATL_int_01	19.9128	Okay, that's cool.	20.7480
22	ATL_int_01	20.7480	(pause 2.00)	22.7471
23	ATL_int_01	22.7471	So, um,	23.7061
24	ATL_int_01	23.7061	(pause 0.72)	24.4227
25	ATL_int_01	24.4227	/RD-NAME-3/ I like that.	25.6037
26	ATL_int_01	25.6037	(pause 0.10)	25.7038
27	ATL_int_01	25.7038	Um,	26.3046
28	ATL_se0_ag2_m_02	26.5985	Thanks, man.	27.2275
29	ATL_int_01	27.9634	obviously,	28.7241
30	ATL_int_01	28.7241	(pause 0.10)	28.8229
31	ATL_int_01	28.8229	you're a male.	29.5553
32	ATL_int_01	29.5553	(pause 0.28)	29.8309
33	ATL_int_01	29.8309	Um,	30.3377
34	ATL_int_01	30.3377	(pause 0.12)	30.4560
35	ATL_int_01	30.4560	what do you identify e-	31.6395
36	ATL_int_01	31.6395	(pause 0.45)	32.0932
37	ATL_int_01	32.0932	ethnically,	33.1862
38	ATL_int_01	33.1862	(pause 0.57)	33.7572
39	ATL_int_01	33.7572	ethnicity-wise?	34.9121
40	ATL_se0_ag2_m_02	35.4586	Uh, Black, Asian, and Italian.	37.1548
41	ATL_int_01	37.5054	Okay.	37.8870
42	ATL_int_01	37.8870	(pause 1.64)	39.5303
43	ATL_int_01	39.5303	That's cool.	39.9784
44	ATL_int_01	39.9784	(pause 0.14)	40.1225
45	ATL_int_01	40.1225	Um,	40.5976
46	ATL_int_01	40.5976	(pause 0.49)	41.0874
47	ATL_int_01	41.0874	year of birth?	41.9381
48	ATL_se0_ag2_m_02	42.3815	Uh, eighty-seven.	43.3662
49	ATL_int_01	43.8664	Okay.	44.2737
50	ATL_int_01	44.2737	(pause 0.71)	44.9800
51	ATL_int_01	44.9800	Home town?	45.6657
52	ATL_se0_ag2_m_02	46.6027	Washington DC.	47.8040
53	ATL_int_01	48.4227	Okay, cool, cool. What, um,	50.1846
54	ATL_int_01	50.1846	(pause 0.13)	50.3179
55	ATL_int_01	50.3179	neighborhood	50.8907
