Line	Spkr	StTime	Content	EnTime
1	DCB_se1_ag3_m_01	0.5763	Alright /RD-NAME-1/ um,	2.1610
2	DCB_se1_ag3_m_01	2.1610	(pause 0.32)	2.4830
3	DCB_se1_ag3_m_01	2.4830	how long have you lived in DC?	3.6777
4	DCB_se2_ag3_m_03	4.7582	I've been in	6.3469
5	DCB_se2_ag3_m_03	6.3469	(pause 0.36)	6.7043
6	DCB_se2_ag3_m_03	6.7043	the DC and Maryland area	9.3696
7	DCB_se2_ag3_m_03	9.3696	(pause 0.31)	9.6817
8	DCB_se2_ag3_m_03	9.6817	for at least I wanna say-	11.9964
9	DCB_se2_ag3_m_03	11.9964	(pause 1.08)	13.0805
10	DCB_se2_ag3_m_03	13.0805	I say all my life.	14.0312
11	DCB_se2_ag3_m_03	14.0312	(pause 0.19)	14.2170
12	DCB_se2_ag3_m_03	14.2170	/What am I now/ thirty-seven?	15.4010
13	DCB_se2_ag3_m_03	15.4010	(pause 0.80)	16.2059
14	DCB_se2_ag3_m_03	16.2059	/Then/ thirty-seven years.	17.2953
15	DCB_se1_ag3_m_01	18.6297	How long have you specifically lived in the	21.0148
16	DCB_se1_ag3_m_01	21.0148	(pause 0.37)	21.3870
17	DCB_se1_ag3_m_01	21.3870	DC area?	22.1233
18	DCB_se2_ag3_m_03	22.2794	<ts> um, I was born in DC, stayed /here/ til I was five.	26.3128
19	DCB_se2_ag3_m_03	26.3128	(pause 0.82)	27.1290
20	DCB_se2_ag3_m_03	27.1290	Uh, grew up right across the line	29.3820
21	DCB_se2_ag3_m_03	29.3820	(pause 0.30)	29.6822
22	DCB_se2_ag3_m_03	29.6822	in Maryland	30.3465
23	DCB_se2_ag3_m_03	30.3465	(pause 0.92)	31.2681
24	DCB_se2_ag3_m_03	31.2681	til I was eighteen.	33.2015
25	DCB_se2_ag3_m_03	33.2015	(pause 0.68)	33.8814
26	DCB_se2_ag3_m_03	33.8814	Um, moved back to DC when I was	37.5751
27	DCB_se2_ag3_m_03	37.5751	(pause 0.08)	37.6563
28	DCB_se2_ag3_m_03	37.6563	I wanna say	38.3526
29	DCB_se2_ag3_m_03	38.3526	(pause 0.21)	38.5607
30	DCB_se2_ag3_m_03	38.5607	twenty-	39.3051
31	DCB_se2_ag3_m_03	39.3051	(pause 0.79)	40.0975
32	DCB_se2_ag3_m_03	40.0975	twenty-five.	40.8898
33	DCB_se2_ag3_m_03	40.8898	(pause 0.63)	41.5221
34	DCB_se2_ag3_m_03	41.5221	I stayed there for another	43.0314
35	DCB_se2_ag3_m_03	43.0314	(pause 0.90)	43.9285
36	DCB_se2_ag3_m_03	43.9285	four years	44.7749
37	DCB_se2_ag3_m_03	44.7749	(pause 0.75)	45.5252
38	DCB_se2_ag3_m_03	45.5252	and then move	46.4176
39	DCB_se2_ag3_m_03	46.4176	(pause 0.67)	47.0899
40	DCB_se2_ag3_m_03	47.0899	out of Upper Marlboro.	48.3593
