Line	Spkr	StTime	Content	EnTime
1	DCB_int_01	0.4877	So,	0.8560
2	DCB_se2_ag4_f_05	1.2559	<clears throat>	2.4496
3	DCB_int_01	3.0278	Miss /RD-NAME-2/,	3.7645
4	DCB_int_01	3.7645	(pause 0.86)	4.6272
5	DCB_int_01	4.6272	if could you tell me	5.4711
6	DCB_int_01	5.4711	(pause 0.68)	6.1519
7	DCB_int_01	6.1519	<clears throat>	6.4923
8	DCB_int_01	6.4923	(pause 1.92)	8.4123
9	DCB_int_01	8.4123	your birthday?	9.0791
10	DCB_se2_ag4_f_05	9.8811	March twelfth, nineteen fifty four.	11.9561
11	DCB_int_01	14.7140	Pisces.	15.6106
12	DCB_se2_ag4_f_05	15.6060	Mm-hm.	16.5339
13	DCB_se2_ag2_f_01	16.9909	<laugh>	17.6204
14	DCB_int_01	18.4550	Where were you born?	19.1078
15	DCB_se2_ag4_f_05	19.8481	Indianapolis, Indiana. Mm.	21.5780
16	DCB_int_01	26.0766	And	26.9299
17	DCB_int_01	26.9299	(pause 0.88)	27.8065
18	DCB_int_01	27.8065	what neighborhood do you-	28.8183
19	DCB_int_01	28.8183	(pause 0.40)	29.2147
20	DCB_int_01	29.2147	do you claim as your neighborhood or the /leighborhood/ you live in?	31.8527
21	DCB_se2_ag4_f_05	33.9091	Um,	34.2774
22	DCB_se2_ag4_f_05	34.2774	(pause 0.28)	34.5619
23	DCB_se2_ag4_f_05	34.5619	Trinidad.	35.2473
24	DCB_se2_ag4_f_05	35.2473	(pause 0.79)	36.0400
25	DCB_se2_ag4_f_05	36.0400	<clears throat>	36.9202
26	DCB_se2_ag4_f_05	36.9202	(pause 3.57)	40.4919
27	DCB_se2_ag4_f_05	40.4919	[North-]	40.9396
28	DCB_int_01	40.4919	[/And how/-]	40.8277
29	DCB_se2_ag4_f_05	41.0981	That-	41.2520
30	DCB_se2_ag4_f_05	41.2520	(pause 0.13)	41.3779
31	DCB_se2_ag4_f_05	41.3779	In Northeast Washington.	42.8327
32	DCB_int_01	45.9063	And how long have you been in DC?	47.4064
33	DCB_se2_ag4_f_05	48.6602	Since nineteen sixty six.	50.4869
34	DCB_int_01	53.3452	Um, and besides Indianapolis	55.1871
35	DCB_int_01	55.1871	(pause 0.16)	55.3445
36	DCB_int_01	55.3445	and	55.9273
37	DCB_int_01	55.9273	(pause 0.17)	56.0952
38	DCB_int_01	56.0952	Trinidad neighborhood, what other neighborhoods or other places have you lived?	59.3511
39	DCB_se2_ag4_f_05	59.6495	Um, Parkland.	60.5582
40	DCB_se2_ag4_f_05	60.5582	(pause 1.84)	62.4000
41	DCB_se2_ag4_f_05	62.4000	Southeast DC.	63.7051
42	DCB_se2_ag4_f_05	63.7051	(pause 3.53)	67.2390
43	DCB_se2_ag4_f_05	67.2390	And Hillcrest.	68.1459
44	DCB_se2_ag4_f_05	68.1459	(pause 3.10)	71.2427
45	DCB_se2_ag4_f_05	71.2427	S-	71.4199
46	DCB_se2_ag4_f_05	71.4199	(pause 0.43)	71.8488
47	DCB_se2_ag4_f_05	71.8488	Southeast DC.	73.7082
48	DCB_se2_ag4_f_05	73.7082	(pause 0.97)	74.6827
49	DCB_se2_ag4_f_05	74.6827	That was it.	75.3076
50	DCB_int_01	77.3313	What about [school?]	78.0960
51	DCB_se2_ag4_f_05	77.5551	[<clears throat>]	77.8955
52	DCB_se2_ag4_f_05	79.2932	Um,	79.8807
53	DCB_se2_ag4_f_05	79.8807	(pause 1.17)	81.0464
54	DCB_se2_ag4_f_05	81.0464	which one?	81.7226
55	DCB_se2_ag4_f_05	81.7226	(pause 1.11)	82.8370
56	DCB_se2_ag4_f_05	82.8370	Elementary was /RD-SCHOOL-4/.	84.9306
57	DCB_se2_ag4_f_05	84.9306	(pause 5.92)	90.8502
58	DCB_se2_ag4_f_05	90.8502	Junior High was /RD-SCHOOL-4/.	92.5242
59	DCB_se2_ag4_f_05	92.5242	(pause 4.96)	97.4797
60	DCB_se2_ag4_f_05	97.4797	High School was /RD-SCHOOL-5/.	99.8858
61	DCB_se2_ag2_f_01	100.3054	I knew you was gonna be [/inaudible/.]	102.4037
62	DCB_se2_ag4_f_05	101.7602	[Yes.]	102.7534
63	DCB_int_01	110.8832	And what about-	112.5945
64	DCB_int_01	112.5945	(pause 0.26)	112.8510
65	DCB_int_01	112.8510	what do you- what do you- what is your occupation?	114.6449
66	DCB_se2_ag4_f_05	116.1885	<ts>	116.2957
67	DCB_se2_ag4_f_05	116.2957	(pause 0.07)	116.3657
68	DCB_se2_ag4_f_05	116.3657	I'm a, um, program coordinator	118.6971
69	DCB_se2_ag4_f_05	118.6971	(pause 0.53)	119.2240
70	DCB_se2_ag4_f_05	119.2240	<clears throat>	119.5597
71	DCB_se2_ag4_f_05	119.5597	(pause 0.73)	120.2872
72	DCB_se2_ag4_f_05	120.2872	for a third party inspection company.	122.8226
73	DCB_int_01	129.9417	And where were your parents born?	131.1914
74	DCB_se2_ag4_f_05	133.3958	Um, both of 'em were born in Roanoke, Virginia. R-O-	136.4173
75	DCB_se2_ag4_f_05	136.4173	(pause 0.15)	136.5665
76	DCB_se2_ag4_f_05	136.5665	A-	136.9722
77	DCB_se2_ag4_f_05	136.9722	(pause 0.11)	137.0841
78	DCB_se2_ag4_f_05	137.0841	N-	137.4292
79	DCB_se2_ag4_f_05	137.4292	(pause 0.12)	137.5458
80	DCB_se2_ag4_f_05	137.5458	O-K-	138.2452
81	DCB_se2_ag4_f_05	138.2452	(pause 0.18)	138.4224
82	DCB_se2_ag4_f_05	138.4224	E. Virginia.	139.7082
83	DCB_int_01	140.8786	And what did your parents do?	142.0023
84	DCB_se2_ag4_f_05	143.3219	Um,	143.7696
85	DCB_se2_ag4_f_05	143.7696	(pause 0.18)	143.9468
86	DCB_se2_ag4_f_05	143.9468	my dad was, um,	145.9880
87	DCB_se2_ag4_f_05	145.9880	(pause 1.80)	147.7878
88	DCB_se2_ag4_f_05	147.7878	He coached, um,	149.0888
89	DCB_se2_ag4_f_05	149.0888	(pause 0.13)	149.2193
90	DCB_se2_ag4_f_05	149.2193	basketball in high school	151.1171
91	DCB_se2_ag4_f_05	151.1171	(pause 0.14)	151.2559
92	DCB_se2_ag4_f_05	151.2559	in, uh, /RD-SCHOOL-2/-	152.3237
93	DCB_se2_ag4_f_05	152.3237	(pause 0.43)	152.7527
94	DCB_se2_ag4_f_05	152.7527	/RD-SCHOOL-5/ High School in Roanoke.	155.4758
95	DCB_se2_ag4_f_05	155.4758	(pause 1.46)	156.9353
96	DCB_se2_ag4_f_05	156.9353	And my mother,	159.5547
97	DCB_se2_ag4_f_05	159.5547	(pause 2.73)	162.2872
98	DCB_se2_ag4_f_05	162.2872	she used to work at a hotel. I don't remember what she did. I don't know if she was cleaning up or something. [She wasn't] doing much.	168.2125
99	DCB_se2_ag2_f_01	167.0701	[<laugh>]	167.4385
100	DCB_se2_ag2_f_01	168.2918	<laugh>	169.2305
101	DCB_int_01	169.3963	Okay.	169.8176
102	DCB_int_01	169.8176	(pause 1.86)	171.6806
103	DCB_int_01	171.6806	So	172.3754
104	DCB_se2_ag4_f_05	175.0181	Mm.	175.4611
105	DCB_se2_ag4_f_05	175.4611	(pause 0.45)	175.9087
106	DCB_se2_ag4_f_05	175.9087	<clears throat>	176.4449
107	DCB_int_01	176.4636	you moved here in nineteen sixty six. So you were	179.4432
108	DCB_int_01	179.4432	(pause 0.42)	179.8675
109	DCB_int_01	179.8675	what?	180.1146
110	DCB_int_01	180.1146	(pause 0.41)	180.5203
111	DCB_int_01	180.5203	Twelve	181.0321
112	DCB_int_01	181.0321	(pause 0.21)	181.2466
113	DCB_int_01	181.2466	[ish?]	181.7875
114	DCB_se2_ag4_f_05	181.3165	[Mm-hm.]	181.8760
115	DCB_int_01	182.9345	So	183.4428
116	DCB_int_01	183.4428	(pause 0.65)	184.0956
117	DCB_int_01	184.0956	when you first moved here- tell me about	185.7556
118	DCB_int_01	185.7556	(pause 0.16)	185.9141
119	DCB_int_01	185.9141	moving here and how- and what-	187.2932
120	DCB_int_01	187.2932	(pause 0.18)	187.4704
121	DCB_int_01	187.4704	what you remember about being like, when you	189.2842
122	DCB_int_01	189.2842	(pause 0.20)	189.4859
123	DCB_int_01	189.4859	first got to DC.	190.5561
124	DCB_se2_ag4_f_05	191.3138	It was scary.	192.3111
125	DCB_int_01	192.9032	Why?	193.1107
126	DCB_se2_ag4_f_05	194.0177	Because I came from Virginia where people spoke to everybody. Everybody knew everybody. I didn't know nobody and nobody spoke	200.9607
127	DCB_se2_ag4_f_05	200.9607	(pause 0.31)	201.2732
128	DCB_se2_ag4_f_05	201.2732	when I got here.	202.1918
129	DCB_se2_ag4_f_05	202.1918	(pause 0.95)	203.1418
130	DCB_se2_ag4_f_05	203.1418	Um,	204.0418
131	DCB_se2_ag4_f_05	204.0418	(pause 3.30)	207.3384
132	DCB_se2_ag4_f_05	207.3384	The- the girls my age,	209.4729
