Line	Spkr	StTime	Content	EnTime
1	DTA_int_05	1.0418	Okay, what we're gonna do is just talk. You understand? We're just interested in the way y-	4.1949
2	DTA_int_05	4.1949	(pause 0.17)	4.3632
3	DTA_int_05	4.3632	you talk, you know.	5.2720
4	DTA_int_05	5.2720	(pause 0.43)	5.6980
5	DTA_int_05	5.6980	We don't care how you- what you say.	7.0724
6	DTA_int_05	7.0724	(pause 0.94)	8.0091
7	DTA_int_05	8.0091	As long as you	8.7013
8	DTA_int_05	8.7013	(pause 1.88)	10.5836
9	DTA_int_05	10.5836	talk a bit.	11.0795
10	DTA_int_05	11.0795	(pause 0.66)	11.7439
11	DTA_int_05	11.7439	What kind of games you play around here, /RD-NAME-2/?	13.2071
12	DTA_se2_ag1_m_02	14.1593	Um,	14.8235
13	DTA_se2_ag1_m_02	14.8235	(pause 2.46)	17.2876
14	DTA_se2_ag1_m_02	17.2876	sometime we play baseball,	19.1520
15	DTA_se2_ag1_m_02	19.1520	(pause 0.20)	19.3479
16	DTA_se2_ag1_m_02	19.3479	kickball, football,	20.7133
17	DTA_se2_ag1_m_02	20.7133	(pause 0.40)	21.1174
18	DTA_se2_ag1_m_02	21.1174	or	21.3815
19	DTA_se2_ag1_m_02	21.3815	(pause 0.26)	21.6378
20	DTA_se2_ag1_m_02	21.6378	whatever we can	22.4673
21	DTA_se2_ag1_m_02	22.4673	(pause 0.81)	23.2787
22	DTA_se2_ag1_m_02	23.2787	[whatever] we can get.	24.2379
23	DTA_int_05	23.2787	[Yeah.]	23.5304
24	DTA_int_05	25.3295	How do you play kickball?	26.2325
25	DTA_se2_ag1_m_02	27.7020	We just roll the ball	28.9938
26	DTA_se2_ag1_m_02	28.9938	(pause 0.16)	29.1532
27	DTA_se2_ag1_m_02	29.1532	and	29.3644
28	DTA_se2_ag1_m_02	29.3644	(pause 0.58)	29.9460
29	DTA_se2_ag1_m_02	29.9460	kick it.	30.3561
30	DTA_int_05	31.2867	Is that sort of like, uh,	32.2387
31	DTA_int_05	32.2387	(pause 0.29)	32.5297
32	DTA_int_05	32.5297	football game, is it? Or kind of a baseball game, what's it like?	35.0917
33	DTA_se2_ag1_m_02	35.1348	Football.	35.8776
34	DTA_se2_ag1_m_02	35.8776	(pause 0.12)	36.0011
35	DTA_se2_ag1_m_02	36.0011	[Sometime-]	36.5420
36	DTA_int_05	36.1051	[It's like] football.	36.8003
37	DTA_se2_ag1_m_02	37.1306	yes.	37.5652
38	DTA_int_05	37.5989	I thought- I thought of it as half football, half [baseball, /RD-NAME-2/ is] that right?	40.5193
39	DTA_se2_ag1_m_02	39.5980	[<laugh>]	39.9593
40	DTA_int_05	42.3592	Any other other kinds of games you play? You play games like hide and seek and, um, stuff like that?	46.0755
41	DTA_se2_ag1_m_02	46.5867	Yes.	47.0948
42	DTA_int_05	47.4070	How do you play hide and seek, are there different ways to play it?	49.0602
43	DTA_se2_ag1_m_02	50.6307	Well	51.2123
44	DTA_se2_ag1_m_02	51.2123	(pause 2.06)	53.2754
45	DTA_se2_ag1_m_02	53.2754	we-	53.7378
46	DTA_se2_ag1_m_02	53.7378	(pause 0.19)	53.9279
47	DTA_se2_ag1_m_02	53.9279	we just close our eyes and	55.6938
48	DTA_se2_ag1_m_02	55.6938	(pause 0.75)	56.4407
49	DTA_se2_ag1_m_02	56.4407	we count	56.9796
50	DTA_se2_ag1_m_02	56.9796	(pause 0.63)	57.6102
51	DTA_se2_ag1_m_02	57.6102	to about ten or twelve.	59.4223
52	DTA_se2_ag1_m_02	59.4223	(pause 0.40)	59.8266
53	DTA_se2_ag1_m_02	59.8266	And then they go hide and	61.3601
54	DTA_se2_ag1_m_02	61.3601	(pause 0.68)	62.0397
55	DTA_se2_ag1_m_02	62.0397	the one who k- get caught first, that's the one who	64.6632
56	DTA_se2_ag1_m_02	64.6632	(pause 0.19)	64.8499
57	DTA_se2_ag1_m_02	64.8499	h- get to hide they eyes next.	66.5971
58	DTA_int_05	67.7673	Uh-huh.	68.1070
59	DTA_se2_ag1_m_02	69.0990	So then	69.8581
60	DTA_se2_ag1_m_02	69.8581	(pause 1.00)	70.8591
61	DTA_se2_ag1_m_02	70.8591	we go and hide some place and we'll let them	73.1765
62	DTA_se2_ag1_m_02	73.1765	(pause 0.69)	73.8704
63	DTA_se2_ag1_m_02	73.8704	see if they can find us.	75.3194
64	DTA_int_05	75.8122	Oh yeah?	76.1997
65	DTA_se2_ag1_m_02	76.5469	Yeah.	76.8889
66	DTA_int_05	77.7990	Yeah.	78.0225
67	DTA_int_05	78.0225	(pause 0.99)	79.0173
68	DTA_int_05	79.0173	You really like that game, do you?	80.0611
69	DTA_se2_ag1_m_02	81.1235	Well	81.6837
70	DTA_se2_ag1_m_02	81.6837	(pause 0.48)	82.1642
71	DTA_se2_ag1_m_02	82.1642	once in a while.	83.0856
72	DTA_int_05	83.2876	You don't play it anymore I suppose. You played it when you were a younger kid, huh?	85.6295
73	DTA_se2_ag1_m_02	85.9509	Uh-huh.	86.3631
74	DTA_int_05	86.5725	How old are you now?	87.2214
75	DTA_se2_ag1_m_02	88.1244	Twelve. I'll be thirteen next month.	90.2398
76	DTA_int_05	90.5826	Yeah, it's something.	91.2292
77	DTA_se2_ag1_m_02	91.7458	<laugh>	92.1594
78	DTA_int_05	92.1805	Let's see, next month is July, huh?	93.7357
79	DTA_int_05	93.7357	(pause 0.84)	94.5713
80	DTA_int_05	94.5713	I was born in July also.	95.8419
81	DTA_se2_ag1_m_02	96.4235	Uh-huh.	96.7326
82	DTA_int_05	96.8000	What day were you born on?	97.7030
83	DTA_se2_ag1_m_02	98.1072	<ts>	98.1991
84	DTA_se2_ag1_m_02	98.1991	(pause 0.48)	98.6766
85	DTA_se2_ag1_m_02	98.6766	The eighteenth of [August-]	100.1392
86	DTA_int_05	99.6255	[Eighteenth? Oh.]	100.3173
87	DTA_int_05	100.8560	I was born ten days later.	101.9335
88	DTA_se2_ag1_m_02	102.7785	Mm-hm.	103.1214
89	DTA_int_05	108.2061	Uh,	108.5918
90	DTA_int_05	108.5918	(pause 1.68)	110.2693
91	DTA_int_05	110.2693	do you watch TV much?	111.2398
92	DTA_se2_ag1_m_02	113.1560	Yes.	113.8113
93	DTA_int_05	115.4703	What do you like on TV?	116.3550
94	DTA_se2_ag1_m_02	117.4204	<ts> Um, mostly I watch	119.6539
95	DTA_se2_ag1_m_02	119.6539	(pause 1.26)	120.9132
96	DTA_se2_ag1_m_02	120.9132	sometime cartoons and sometime I watch the news.	124.9417
97	DTA_se2_ag1_m_02	124.9417	(pause 0.84)	125.7776
98	DTA_se2_ag1_m_02	125.7776	And	126.3041
99	DTA_se2_ag1_m_02	126.3041	(pause 0.55)	126.8551
100	DTA_se2_ag1_m_02	126.8551	other things.	127.6417
101	DTA_int_05	128.3305	Yeah.	128.6230
102	DTA_int_05	128.6230	(pause 0.69)	129.3133
103	DTA_int_05	129.3133	Pardon me with it.	130.0204
104	DTA_int_05	130.0204	(pause 1.83)	131.8541
105	DTA_int_05	131.8541	<laugh>	132.2735
106	DTA_se2_ag1_m_02	132.3837	<laugh>	132.5428
107	DTA_int_05	135.9714	Uh, what was that Captain something or other you watch?	138.2979
108	DTA_se2_ag1_m_02	139.4275	Uh, Funhouse.	140.7039
109	DTA_int_05	140.9092	Oh, Funhouse you watch.	141.8979
110	DTA_se2_ag1_m_02	142.0265	Yes.	142.3601
111	DTA_int_05	142.4428	Gee, I've never seen that. Is that just in Detroit here, /you know/?	144.5367
112	DTA_se2_ag1_m_02	145.5744	Um, I'm not sure.	147.3286
113	DTA_se2_ag1_m_02	147.3286	(pause 1.06)	148.3907
114	DTA_se2_ag1_m_02	148.3907	It's on, uh-	150.3255
115	DTA_se2_ag1_m_02	150.3255	(pause 2.77)	153.0959
116	DTA_se2_ag1_m_02	153.0959	it's in	154.0842
117	DTA_se2_ag1_m_02	154.0842	(pause 1.37)	155.4529
118	DTA_se2_ag1_m_02	155.4529	channel nine is Canada, isn't it?	157.1183
119	DTA_int_05	157.7305	Is it?	158.0213
120	DTA_int_05	158.0213	(pause 0.36)	158.3825
121	DTA_int_05	158.3825	That must be Canada, yeah.	159.4541
122	DTA_se2_ag1_m_02	159.6898	Yeah.	159.8979
123	DTA_int_05	160.3815	Well what's it all- what's the program all about?	162.0714
124	DTA_se2_ag1_m_02	163.1826	Just playing cartoons sometime.	165.2166
125	DTA_se2_ag1_m_02	165.2166	(pause 0.95)	166.1673
126	DTA_se2_ag1_m_02	166.1673	That's all what-	166.8000
127	DTA_se2_ag1_m_02	166.8000	(pause 0.80)	167.5998
128	DTA_se2_ag1_m_02	167.5998	just cartoons and things like that.	170.1560
129	DTA_int_05	172.5193	Cartoons, huh?	173.2509
130	DTA_se2_ag1_m_02	173.6891	[Yeah.]	173.9118
131	DTA_int_05	173.7010	[What kind] of cartoons? Bugs Bunny, or Mighty Mouse, and?	176.8571
132	DTA_se2_ag1_m_02	177.8489	Well sort of. Ace Man	179.7531
133	DTA_se2_ag1_m_02	179.7531	(pause 1.23)	180.9867
134	DTA_se2_ag1_m_02	180.9867	and, uh,	181.9264
135	DTA_se2_ag1_m_02	181.9264	(pause 2.05)	183.9775
136	DTA_se2_ag1_m_02	183.9775	Gigantor.	185.0427
137	DTA_se2_ag1_m_02	185.0427	(pause 1.50)	186.5428
138	DTA_se2_ag1_m_02	186.5428	And Astro Boy,	188.0710
139	DTA_se2_ag1_m_02	188.0710	(pause 0.40)	188.4682
140	DTA_se2_ag1_m_02	188.4682	The Astronaut,	189.4602
141	DTA_se2_ag1_m_02	189.4602	(pause 1.29)	190.7550
142	DTA_se2_ag1_m_02	190.7550	and,	191.3855
143	DTA_se2_ag1_m_02	191.3855	(pause 1.74)	193.1244
144	DTA_se2_ag1_m_02	193.1244	um	193.9281
145	DTA_se2_ag1_m_02	193.9281	(pause 0.67)	194.5968
146	DTA_se2_ag1_m_02	194.5968	Woody Woodpecker,	195.5622
147	DTA_se2_ag1_m_02	195.5622	(pause 0.17)	195.7357
148	DTA_se2_ag1_m_02	195.7357	Yogi Bear,	196.5101
149	DTA_se2_ag1_m_02	196.5101	(pause 0.67)	197.1774
150	DTA_se2_ag1_m_02	197.1774	Huckleberry Hound, Super Car,	199.2004
151	DTA_se2_ag1_m_02	199.2004	(pause 1.32)	200.5174
152	DTA_se2_ag1_m_02	200.5174	[and]	200.9496
153	DTA_int_05	200.8694	[Uh-huh.]	201.1877
154	DTA_se2_ag1_m_02	201.7050	that's about all of what watch. I don't hardly watch anything else.	204.8834
155	DTA_se2_ag1_m_02	204.8834	(pause 0.35)	205.2351
156	DTA_se2_ag1_m_02	205.2351	Any other	205.8346
157	DTA_se2_ag1_m_02	205.8346	(pause 0.18)	206.0182
158	DTA_se2_ag1_m_02	206.0182	cartoons.	206.7041
159	DTA_int_05	207.2336	[Yeah (laughing). Good.]	208.1833
160	DTA_se2_ag1_m_02	208.0754	[Mm-hm.]	208.4366
161	DTA_int_05	210.9346	Yeah.	211.3815
162	DTA_se2_ag1_m_02	211.9172	Yeah.	212.2355
163	DTA_int_05	212.3029	You like cartoons, huh?	213.2423
164	DTA_se2_ag1_m_02	214.6601	Well	215.2386
165	DTA_se2_ag1_m_02	215.2386	(pause 0.88)	216.1173
166	DTA_se2_ag1_m_02	216.1173	I'll say sometime.	217.2621
167	DTA_int_05	217.7397	Yeah.	217.9298
168	DTA_int_05	217.9298	(pause 1.08)	219.0102
169	DTA_int_05	219.0102	My little boy likes	219.7907
170	DTA_int_05	219.7907	(pause 0.16)	219.9518
171	DTA_int_05	219.9518	cartoons too, huh. I got a boy	221.5694
172	DTA_int_05	221.5694	(pause 0.68)	222.2489
173	DTA_int_05	222.2489	not quite as big as you, but he likes 'em.	223.6907
174	DTA_int_05	223.6907	(pause 1.84)	225.5275
175	DTA_int_05	225.5275	Any other TV programs you watch? Do you watch any Westerns or anything like that?	228.5122
176	DTA_se2_ag1_m_02	229.1305	I just love 'em.	230.0611
177	DTA_int_05	230.3978	/Young love 'em./	231.0006
178	DTA_int_05	231.0006	(pause 1.97)	232.9692
179	DTA_int_05	232.9692	What about things like The Man From Uncle? I guess that's a bit too old for you though, you know.	236.3376
180	DTA_int_05	236.3376	(pause 0.69)	237.0255
181	DTA_int_05	237.0255	Too late at night?	237.6561
182	DTA_se2_ag1_m_02	238.7641	[No.] (laughing)	239.6826
183	DTA_int_05	239.5296	[<laugh>]	240.3285
184	DTA_se2_ag1_m_02	240.4020	I like that.	241.3019
185	DTA_int_05	241.5774	You like that, huh?	242.2813
186	DTA_se2_ag1_m_02	242.5020	Yes.	243.0102
187	DTA_int_05	243.0316	What was the last episode about? Do you remember the last, uh, TV program you might remember?	246.8745
188	DTA_se2_ag1_m_02	250.7733	I can't remember that [one.]	252.1401
189	DTA_int_05	251.9069	[And] you haven't watched it for a while?	253.0509
190	DTA_se2_ag1_m_02	253.4948	[That's-]	253.7611
191	DTA_int_05	253.7090	[Do] you watch Lost in Space? A lot of kids watch [Lost in Space.]	256.2621
192	DTA_se2_ag1_m_02	255.7448	[Mm-hm.]	256.1381
193	DTA_se2_ag1_m_02	257.7010	Sometime, but my brother like Batman.	260.3017
194	DTA_se2_ag1_m_02	260.3017	(pause 0.18)	260.4835
195	DTA_se2_ag1_m_02	260.4835	[I have] to go along with that.	261.8856
196	DTA_int_05	260.6000	[What-]	260.8051
197	DTA_int_05	263.3090	What w- what was Batman doing last week, do you remember?	265.5947
198	DTA_se2_ag1_m_02	266.4896	I didn't see it.	267.3683
199	DTA_int_05	267.4816	How about the week before, did you see it then?	268.8315
200	DTA_int_05	268.8315	(pause 2.57)	271.4029
201	DTA_int_05	271.4029	Been a whi-, it's been a while since you saw Batman, huh?	273.3744
202	DTA_se2_ag1_m_02	273.4387	Mm-hm.	273.8244
203	DTA_int_05	275.2663	What do you like about Batman?	276.3530
204	DTA_se2_ag1_m_02	277.9968	Him fighting. That's all.	279.0530
205	DTA_int_05	279.4816	You like to see him fight?	280.2529
206	DTA_int_05	280.2529	(pause 0.81)	281.0580
207	DTA_int_05	281.0580	How does he fight?	281.6212
208	DTA_se2_ag1_m_02	284.0427	Well	284.5796
209	DTA_se2_ag1_m_02	284.5796	(pause 1.14)	285.7234
210	DTA_se2_ag1_m_02	285.7234	he balls up fists and just hit 'em.	287.8020
211	DTA_se2_ag1_m_02	287.8020	(pause 0.64)	288.4448
212	DTA_se2_ag1_m_02	288.4448	Throw his	288.9040
213	DTA_se2_ag1_m_02	288.9040	(pause 0.11)	289.0111
214	DTA_se2_ag1_m_02	289.0111	b- bat boomerang-	290.0151
215	DTA_se2_ag1_m_02	290.0151	(pause 0.24)	290.2600
216	DTA_se2_ag1_m_02	290.2600	hey y'all go.	291.1081
217	DTA_se2_ag1_m_02	291.1081	(pause 1.27)	292.3815
218	DTA_se2_ag1_m_02	292.3815	Go.	292.7335
219	DTA_se2_ag1_m_02	292.7335	(pause 0.43)	293.1590
220	DTA_se2_ag1_m_02	293.1590	Bye-bye /RD-NAME-1/.	294.1298
221	DTA_se2_ag1_m_02	294.1298	(pause 0.43)	294.5642
222	DTA_se2_ag1_m_02	294.5642	Y'all leave.	295.4060
223	DTA_se2_ag1_m_02	295.4060	(pause 2.04)	297.4448
224	DTA_se2_ag1_m_02	297.4448	Y'all messing me up now. Goodbye.	299.3426
225	misc	299.8336	I'm coming right back.	301.2443
226	DTA_se2_ag1_m_02	301.3100	Oh boy.	301.9195
227	DTA_int_05	302.6183	Is he your brother or something?	303.5921
228	DTA_se2_ag1_m_02	303.8152	Yes.	304.3055
229	DTA_int_05	305.2967	How old is he?	306.1234
230	DTA_se2_ag1_m_02	306.7479	Five.	307.2009
231	DTA_int_05	307.5621	And he's the one that likes Batman?	308.7622
232	DTA_se2_ag1_m_02	309.0622	Uh-huh.	309.5979
233	DTA_int_05	309.7172	That you had to [go along with.] (laughing)	310.8866
234	DTA_se2_ag1_m_02	310.4090	[<laugh>]	310.8712
235	DTA_se2_ag1_m_02	311.2631	[Yeah.]	311.6490
236	DTA_int_05	311.6092	[<laugh>]	311.9604
237	DTA_int_05	312.4234	Do you think Batman's sort of funny?	313.5590
238	DTA_se2_ag1_m_02	314.9153	Well	315.6009
239	DTA_se2_ag1_m_02	315.6009	(pause 0.73)	316.3294
240	DTA_se2_ag1_m_02	316.3294	when he fighting.	317.1161
241	DTA_se2_ag1_m_02	317.1161	(pause 2.77)	319.8865
242	DTA_se2_ag1_m_02	319.8865	Okay, let's go.	320.8663
243	DTA_int_05	321.1081	What-	321.3377
244	DTA_int_05	321.3377	(pause 0.73)	322.0631
245	DTA_int_05	322.0631	if you're a good boy and you come back in ten minutes,	324.5948
246	DTA_int_05	324.5948	(pause 0.56)	325.1519
247	DTA_int_05	325.1519	I'll let you say something in the tape recorder, okay?	327.1416
248	misc	327.3625	I don't want to.	328.2809
249	DTA_se2_ag1_m_02	328.2529	[<laugh>]	328.8957
250	DTA_int_05	328.3998	[Or you can.]	328.9202
251	DTA_se2_ag1_m_02	329.3398	<laugh>	329.7775
252	DTA_int_05	329.8871	/With other/ children. (laughing)	330.8305
253	DTA_int_05	330.8305	(pause 0.55)	331.3784
254	DTA_int_05	331.3784	Some days you can't win [<laugh> Huh?]	332.9030
255	DTA_se2_ag1_m_02	332.6551	[That's] right.	333.3284
256	DTA_int_05	333.8152	<laugh>	334.6381
257	DTA_int_05	334.6381	(pause 0.28)	334.9172
258	DTA_int_05	334.9172	<laugh>	335.2538
259	DTA_int_05	335.2538	(pause 2.16)	337.4121
260	DTA_int_05	337.4121	And this your sister, is it?	338.4512
261	DTA_se2_ag1_m_02	338.8938	Yes.	339.3040
262	DTA_int_05	339.3040	What's her name?	339.8152
263	DTA_se2_ag1_m_02	340.3968	/RD-NAME-2/.	340.9692
264	DTA_int_05	341.4528	Uh-huh.	341.7897
265	DTA_int_05	341.7897	(pause 1.45)	343.2376
266	DTA_int_05	343.2376	/RD-NAME-2/. And the little baby's name is?	344.9911
267	DTA_se2_ag1_m_02	345.2734	/RD-NAME-3/.	345.9315
268	DTA_int_05	346.1580	Wendy?	346.5927
269	DTA_se2_ag1_m_02	346.8590	/RD-NAME-3/.	347.4743
270	DTA_se2_ag1_m_02	347.4743	(pause 0.70)	348.1754
271	DTA_se2_ag1_m_02	348.1754	/RD-NAME-3/.	348.9432
272	DTA_int_05	348.9927	/RD-NAME-3/. Oh, I'm sorry.	350.0335
273	DTA_int_05	350.0335	(pause 0.76)	350.7928
274	DTA_int_05	350.7928	So she'll be /RD-NAME-1/ for short, huh?	352.2896
275	DTA_se2_ag1_m_02	352.5559	Yes.	352.9118
276	DTA_int_05	353.9152	Does she talk yet?	354.7105
277	DTA_se2_ag1_m_02	355.9967	Well	356.5936
278	DTA_se2_ag1_m_02	356.5936	(pause 0.76)	357.3530
279	DTA_se2_ag1_m_02	357.3530	n- sh- she talks a little.	358.7978
280	DTA_int_05	359.3059	She says mama and dada and a few things like that, huh?	361.4243
281	DTA_se2_ag1_m_02	361.5162	Yes.	361.9875
282	DTA_int_05	363.4081	She doesn't know who you are yet, I [suppose.]	365.1083
283	DTA_se2_ag1_m_02	364.9324	[<laugh>]	365.7255
284	DTA_int_05	367.9753	Tell me something, do you have a pet?	369.1203
285	DTA_se2_ag1_m_02	370.3998	No.	370.7335
