Line	Spkr	StTime	Content	EnTime
1	LES_int_01	0.6352	Alright, so I turned the recorder on. So, it's uh, October thirtieth	4.0707
2	LES_int_01	4.0707	(pause 0.29)	4.3575
3	LES_int_01	4.3575	two thousand eight.	5.4925
4	LES_int_01	5.4925	(pause 0.32)	5.8077
5	LES_int_01	5.8077	And we're talking to	7.1685
6	LES_int_01	7.1685	(pause 0.38)	7.5529
7	LES_int_01	7.5529	/RD-NAME-2/	8.3767
8	LES_int_01	8.3767	(pause 0.23)	8.6086
9	LES_int_01	8.6086	AKA	9.5727
10	LES_se0_ag3_m_01	9.7863	Big Shot.	10.3723
11	LES_int_01	10.3723	<laugh>	11.4097
12	LES_int_01	11.4097	(pause 0.31)	11.7148
13	LES_int_01	11.7148	What's your last name?	12.4918
14	LES_se0_ag3_m_01	12.7542	/RD-NAME-4/	13.9075
15	LES_int_01	13.9075	Okay, cool.	14.6154
16	LES_int_01	14.6154	(pause 0.22)	14.8314
17	LES_int_01	14.8314	So, /RD-NAME-2/. So, normally, I ask people to start	17.6933
18	LES_int_01	17.6933	(pause 0.35)	18.0411
19	LES_int_01	18.0411	right at the beginning	18.8881
20	LES_int_01	18.8881	(pause 0.21)	19.0955
21	LES_int_01	19.0955	and tell me when and where	20.6869
22	LES_int_01	20.6869	(pause 0.22)	20.9065
23	LES_int_01	20.9065	they were born.	21.4986
24	LES_se0_ag3_m_01	22.6700	Um.	23.1560
25	LES_se0_ag3_m_01	23.1560	(pause 0.42)	23.5770
26	LES_se0_ag3_m_01	23.5770	I was born in Brooklyn, New York.	25.1514
27	LES_se0_ag3_m_01	25.1514	(pause 0.18)	25.3283
28	LES_se0_ag3_m_01	25.3283	Basically.	25.8226
29	LES_int_01	25.8775	Okay.	26.1521
30	LES_se0_ag3_m_01	27.0674	And	27.8636
31	LES_se0_ag3_m_01	27.8636	(pause 0.65)	28.5165
32	LES_se0_ag3_m_01	28.5165	I lost a brother in nineteen seventy-nine	31.4315
33	LES_se0_ag3_m_01	31.4315	(pause 0.43)	31.8648
34	LES_se0_ag3_m_01	31.8648	due to a fire.	32.7557
35	LES_se0_ag3_m_01	32.7557	(pause 0.31)	33.0608
36	LES_se0_ag3_m_01	33.0608	A house fire.	33.7626
37	LES_int_01	34.4218	[/??/]	35.0161
38	LES_se0_ag3_m_01	34.6400	[And we] reloaded-	35.5061
39	LES_se0_ag3_m_01	35.6830	we relocated	36.5959
40	LES_se0_ag3_m_01	36.5959	(pause 0.13)	36.7241
41	LES_se0_ag3_m_01	36.7241	to the Lower East Side of Manhattan in nineteen seventy-nine.	39.1954
42	LES_int_01	39.2559	I see.	39.7443
43	LES_se0_ag3_m_01	39.9742	August sixth, nineteen seventy-nine, a matter of fact.	42.2137
44	LES_int_01	42.5005	Okay.	42.8405
45	LES_int_01	42.8405	(pause 0.18)	43.0175
46	LES_int_01	43.0175	And how old were you?	43.8149
47	LES_se0_ag3_m_01	43.9694	I was nine years old.	44.9519
48	LES_int_01	45.3668	So, you were born in nineteen seventy.	46.6664
49	LES_se0_ag3_m_01	46.8128	Yes.	47.3378
50	LES_int_01	47.6063	Got it. [Got it.]	48.4118
51	LES_se0_ag3_m_01	48.0213	[Yes.]	48.3203
52	LES_int_01	48.9388	Tell me, uh, like a little bit about your family. How did your parents end up in	53.0796
53	LES_int_01	53.0796	(pause 0.13)	53.2138
54	LES_int_01	53.2138	Brook- Where in Brooklyn were you born?	54.3610
55	LES_se0_ag3_m_01	54.9163	We was born- uh- well I was born in Bed-Stuy.	57.4881
56	LES_int_01	57.7505	Yeah.	57.9623
