Line	Spkr	StTime	Content	EnTime
1	LES_int_01	0.8188	Okay.	1.1980
2	LES_int_01	1.1980	(pause 0.37)	1.5712
3	LES_int_01	1.5712	So, its, um, <ts>	2.9454
4	LES_int_01	2.9454	(pause 0.52)	3.4634
5	LES_int_01	3.4634	Thursday, December fourth,	5.0747
6	LES_int_01	5.0747	(pause 0.94)	6.0098
7	LES_int_01	6.0098	And I'm /RD-NAME-4/, and I'm talking to /RD-NAME-5/.	9.0156
8	LES_int_01	9.0156	(pause 0.83)	9.8454
9	LES_int_01	9.8454	And /RD-NAME-2/, uh, you said you, w- you had something you wanted to start	12.5586
10	LES_int_01	12.5586	(pause 0.42)	12.9800
11	LES_int_01	12.9800	off with by saying.	13.9371
12	LES_se0_ag4_f_01	15.0087	Many people have asked me	16.5234
13	LES_se0_ag4_f_01	16.5234	(pause 0.22)	16.7385
14	LES_se0_ag4_f_01	16.7385	through the years	17.5595
15	LES_se0_ag4_f_01	17.5595	(pause 0.66)	18.2190
16	LES_se0_ag4_f_01	18.2190	/RD-NAME-2/,	18.6931
17	LES_se0_ag4_f_01	18.6931	(pause 0.61)	19.3034
18	LES_se0_ag4_f_01	19.3034	why do you live on the Lower East Side?	21.2351
19	LES_se0_ag4_f_01	21.2351	(pause 2.58)	23.8166
20	LES_se0_ag4_f_01	23.8166	What is	25.2726
21	LES_se0_ag4_f_01	25.2726	(pause 0.57)	25.8390
22	LES_se0_ag4_f_01	25.8390	holding you here?	26.7083
23	LES_se0_ag4_f_01	26.7083	(pause 0.66)	27.3712
24	LES_se0_ag4_f_01	27.3712	Because originally,	28.3634
25	LES_se0_ag4_f_01	28.3634	(pause 1.15)	29.5093
26	LES_se0_ag4_f_01	29.5093	you came from Harlem,	30.5263
27	LES_se0_ag4_f_01	30.5263	(pause 1.32)	31.8434
28	LES_se0_ag4_f_01	31.8434	where you spent thirty-six years of your life.	33.6346
29	LES_int_01	34.0341	<ts> You were born in Harlem?	35.2063
30	LES_se0_ag4_f_01	35.2063	I was born and raised in Harlem.	36.7546
31	LES_int_01	37.1146	May I ask in what year?	38.2023
32	LES_se0_ag4_f_01	38.6150	No.	38.9794
33	LES_int_01	39.2237	[<laugh>]	40.3169
34	LES_se0_ag4_f_01	40.1018	[But.]	40.4881
35	LES_int_01	41.0984	[What] decade?	42.1872
36	LES_se0_ag4_f_01	41.2125	[This]	41.6032
37	LES_se0_ag4_f_01	42.5735	But.	43.0740
38	LES_se0_ag4_f_01	43.0740	(pause 0.51)	43.5877
39	LES_se0_ag4_f_01	43.5877	This	44.4086
40	LES_se0_ag4_f_01	44.4086	(pause 1.00)	45.4096
41	LES_se0_ag4_f_01	45.4096	little piece that I'm about to give you,	47.2081
42	LES_se0_ag4_f_01	47.2081	(pause 0.33)	47.5374
43	LES_se0_ag4_f_01	47.5374	will give you an [indication]	48.7623
44	LES_int_01	48.4681	[Hm.]	48.7623
45	LES_int_01	48.9203	Mkay.	49.2013
46	LES_se0_ag4_f_01	49.3506	of all of that.	50.0443
47	LES_int_01	50.2901	Okay.	50.6018
48	LES_se0_ag4_f_01	51.0935	See, I tell- I answer people, I live on the Lower East Side because I realized it's a very special place.	56.2374
49	LES_se0_ag4_f_01	56.2374	(pause 0.62)	56.8608
50	LES_se0_ag4_f_01	56.8608	And what makes it so special is that is has lessons for its residents to learn.	60.8589
51	LES_se0_ag4_f_01	60.8589	(pause 0.47)	61.3286
52	LES_se0_ag4_f_01	61.3286	Providing they're paying attention	62.7643
53	LES_int_01	63.0496	Mm-hm.	63.4799
54	LES_se0_ag4_f_01	63.6291	and able to absorb	64.8020
55	LES_se0_ag4_f_01	64.8020	(pause 1.29)	66.0884
56	LES_se0_ag4_f_01	66.0884	what the-	66.7250
57	LES_se0_ag4_f_01	66.7250	(pause 0.16)	66.8874
58	LES_se0_ag4_f_01	66.8874	this special neighborhood	67.9982
59	LES_se0_ag4_f_01	67.9982	(pause 0.81)	68.8060
60	LES_se0_ag4_f_01	68.8060	has to give them.	69.5962
61	LES_se0_ag4_f_01	69.5962	(pause 1.25)	70.8474
62	LES_se0_ag4_f_01	70.8474	And	71.4386
63	LES_se0_ag4_f_01	71.4386	(pause 0.52)	71.9611
64	LES_se0_ag4_f_01	71.9611	see, we are people of doers. We're always doing, doing, doing, and we never stop to think, how do we get from point A to point B?	78.0806
65	LES_se0_ag4_f_01	78.0806	(pause 0.94)	79.0245
66	LES_se0_ag4_f_01	79.0245	Well, now I'm'a take you on a journey.	80.5122
67	LES_int_01	80.7317	Mkay.	81.1883
68	LES_se0_ag4_f_01	81.6449	And my journey is that	82.9137
69	LES_se0_ag4_f_01	82.9137	(pause 0.90)	83.8181
70	LES_se0_ag4_f_01	83.8181	many years ago,	84.8673
71	LES_se0_ag4_f_01	84.8673	(pause 0.49)	85.3591
72	LES_se0_ag4_f_01	85.3591	about twenty-four,	86.3469
73	LES_se0_ag4_f_01	86.3469	(pause 1.46)	87.8088
74	LES_se0_ag4_f_01	87.8088	I was an African American woman	89.4248
75	LES_se0_ag4_f_01	89.4248	(pause 0.51)	89.9341
76	LES_se0_ag4_f_01	89.9341	living	90.4522
77	LES_se0_ag4_f_01	90.4522	(pause 0.49)	90.9439
78	LES_se0_ag4_f_01	90.9439	in Harlem.	91.5102
79	LES_se0_ag4_f_01	91.5102	(pause 0.92)	92.4350
80	LES_se0_ag4_f_01	92.4350	A mother, a single parent,	93.6599
81	LES_se0_ag4_f_01	93.6599	(pause 0.15)	93.8136
82	LES_se0_ag4_f_01	93.8136	of two	94.5029
83	LES_se0_ag4_f_01	94.5029	(pause 0.59)	95.0956
84	LES_se0_ag4_f_01	95.0956	young men.	95.7190
85	LES_se0_ag4_f_01	95.7190	(pause 1.38)	97.0975
86	LES_se0_ag4_f_01	97.0975	Eight	97.3126
87	LES_se0_ag4_f_01	97.3126	(pause 0.32)	97.6375
88	LES_se0_ag4_f_01	97.6375	and	97.8527
89	LES_se0_ag4_f_01	97.8527	(pause 0.29)	98.1468
90	LES_se0_ag4_f_01	98.1468	ten.	98.5228
91	LES_se0_ag4_f_01	98.5228	(pause 1.74)	100.2658
92	LES_se0_ag4_f_01	100.2658	or maybe seven and six. I don't remember.	102.2282
93	LES_se0_ag4_f_01	102.2282	(pause 0.10)	102.3292
94	LES_se0_ag4_f_01	102.3292	Anyway.	102.8297
95	LES_int_01	103.0097	Mm-hm.	103.4268
96	LES_se0_ag4_f_01	103.8966	Uh.	104.2858
97	LES_se0_ag4_f_01	104.2858	(pause 0.13)	104.4175
98	LES_se0_ag4_f_01	104.4175	One of them is neurologically disabled	106.4238
99	LES_se0_ag4_f_01	106.4238	(pause 0.67)	107.0912
100	LES_se0_ag4_f_01	107.0912	he doesn't speak, he's suffering from autism and retardation.	110.3136
101	LES_se0_ag4_f_01	110.3136	(pause 0.57)	110.8872
102	LES_se0_ag4_f_01	110.8872	And the other one was so called, normal.	112.3404
103	LES_se0_ag4_f_01	112.3404	(pause 0.34)	112.6785
104	LES_se0_ag4_f_01	112.6785	Pain in the ass.	113.2799
105	LES_se0_ag4_f_01	113.2799	(pause 0.54)	113.8243
106	LES_se0_ag4_f_01	113.8243	[Anyway.]	114.4961
107	LES_int_01	113.9648	[<laugh>]	115.0712
108	LES_se0_ag4_f_01	115.4707	Anyway.	115.9361
109	LES_se0_ag4_f_01	115.9361	(pause 0.10)	116.0370
110	LES_se0_ag4_f_01	116.0370	Uh.	116.4175
111	LES_se0_ag4_f_01	116.4175	(pause 1.15)	117.5677
112	LES_se0_ag4_f_01	117.5677	And I thought my life was pretty good.	119.2580
113	LES_se0_ag4_f_01	119.2580	(pause 0.37)	119.6268
114	LES_se0_ag4_f_01	119.6268	I mean, I was in college, at /RD-SCHOOL-2/,	121.4619
115	LES_se0_ag4_f_01	121.4619	(pause 0.99)	122.4526
116	LES_se0_ag4_f_01	122.4526	I was ha- a- I had my boys in school,	124.8365
117	LES_se0_ag4_f_01	124.8365	(pause 0.98)	125.8199
118	LES_se0_ag4_f_01	125.8199	I had my grants all lined up, and everything was fine. I was doing well in school too.	129.6468
119	LES_int_01	129.7653	Mm-hm.	130.1209
120	LES_se0_ag4_f_01	131.1790	Til one day, uh,	132.5663
121	LES_se0_ag4_f_01	132.5663	(pause 1.04)	133.6024
122	LES_se0_ag4_f_01	133.6024	I realized that	134.7380
123	LES_se0_ag4_f_01	134.7380	(pause 0.50)	135.2385
124	LES_se0_ag4_f_01	135.2385	some junkies had moved into my building	137.1702
125	LES_se0_ag4_f_01	137.1702	(pause 0.17)	137.3414
126	LES_se0_ag4_f_01	137.3414	in Harlem.	137.8507
127	LES_se0_ag4_f_01	137.8507	(pause 1.14)	138.9922
128	LES_se0_ag4_f_01	138.9922	And uh.	139.5585
129	LES_se0_ag4_f_01	139.5585	(pause 0.15)	139.7122
130	LES_se0_ag4_f_01	139.7122	They weren't your average junkies, they were very social.	142.2614
131	LES_se0_ag4_f_01	142.2614	(pause 0.81)	143.0736
132	LES_se0_ag4_f_01	143.0736	Next thing I knew, that they had robbed my apartment and took everything out of it.	146.3488
133	LES_se0_ag4_f_01	146.3488	(pause 0.90)	147.2472
134	LES_se0_ag4_f_01	147.2472	And they came in from the ceiling.	148.6434
135	LES_int_01	149.8024	From the ceiling?	150.5356
136	LES_se0_ag4_f_01	150.6278	From the ceiling.	151.4286
137	LES_se0_ag4_f_01	151.4286	(pause 0.17)	151.5998
138	LES_se0_ag4_f_01	151.5998	And	151.9423
139	LES_se0_ag4_f_01	151.9423	(pause 0.12)	152.0608
140	LES_se0_ag4_f_01	152.0608	the cops came to my house, and said this was the fist burglary	154.8480
141	LES_se0_ag4_f_01	154.8480	(pause 0.48)	155.3310
142	LES_se0_ag4_f_01	155.3310	of this nature, where they could look up and see a hole.	157.3286
143	LES_se0_ag4_f_01	157.3286	(pause 1.91)	159.2368
144	LES_se0_ag4_f_01	159.2368	And at that time, I di- wasn't wise enough to know the hold the landlord accountable.	163.2349
145	LES_se0_ag4_f_01	163.2349	(pause 0.80)	164.0339
146	LES_se0_ag4_f_01	164.0339	And.	164.7495
147	LES_se0_ag4_f_01	164.7495	(pause 1.94)	166.6929
148	LES_se0_ag4_f_01	166.6929	T- keep the police involved	168.6817
149	LES_se0_ag4_f_01	168.6817	(pause 0.64)	169.3227
