Line	Spkr	StTime	Content	EnTime
1	PRV_int_01	0.6977	Yeah seems like a lot of people in town know you, neighbors?	4.2336
2	PRV_se0_ag3_f_04	5.7672	[Mm-hm.]	6.6173
3	PRV_int_01	6.0587	[Say]	6.6125
4	PRV_int_01	6.7877	do you know a lot of people in town or	8.2503
5	PRV_int_01	8.2503	(pause 0.58)	8.8278
6	PRV_int_01	8.8278	find people know you?	9.7792
7	PRV_int_01	9.7792	(pause 1.33)	11.1093
8	PRV_int_01	11.1093	A lot of your neighbors- /unintelligible/ - have you know- have you	13.4314
9	PRV_int_01	13.4314	(pause 0.24)	13.6728
10	PRV_int_01	13.6728	known your neighbors for a long time? The same people s-	15.9969
11	PRV_se0_ag3_f_04	16.2241	Well the longest I know	18.5368
12	PRV_se0_ag3_f_04	18.5368	(pause 1.13)	19.6634
13	PRV_se0_ag3_f_04	19.6634	um,	20.1178
14	PRV_se0_ag3_f_04	20.1178	(pause 1.29)	21.4100
15	PRV_se0_ag3_f_04	21.4100	after you pass	22.3567
16	PRV_se0_ag3_f_04	22.3567	(pause 0.15)	22.5034
17	PRV_se0_ag3_f_04	22.5034	the Bell House up there?	24.4043
18	PRV_int_01	24.4268	Mm-hm.	24.7587
19	PRV_se0_ag3_f_04	24.8019	With the fence around?	26.1935
20	PRV_int_01	26.2882	Mm-hm.	26.6952
21	PRV_se0_ag3_f_04	27.0076	Well I know her a good while. She and her husband,	30.4090
22	PRV_se0_ag3_f_04	30.4090	(pause 0.59)	30.9959
23	PRV_se0_ag3_f_04	30.9959	but then it's a trailer.	32.7473
24	PRV_se0_ag3_f_04	32.7473	(pause 0.59)	33.3390
25	PRV_se0_ag3_f_04	33.3390	And then	34.0821
26	PRV_se0_ag3_f_04	34.0821	(pause 0.22)	34.3046
27	PRV_se0_ag3_f_04	34.3046	the next	35.0572
28	PRV_se0_ag3_f_04	35.0572	(pause 0.36)	35.4170
29	PRV_se0_ag3_f_04	35.4170	it's a brick house.	36.8113
30	PRV_int_01	36.9013	Mm-hm.	37.3841
31	PRV_se0_ag3_f_04	37.4551	Now	38.0231
32	PRV_se0_ag3_f_04	38.0231	(pause 0.28)	38.3071
33	PRV_se0_ag3_f_04	38.3071	and then	39.1355
34	PRV_se0_ag3_f_04	39.1355	(pause 0.68)	39.8171
35	PRV_se0_ag3_f_04	39.8171	on the other side of her house, her sister house.	42.9770
36	PRV_se0_ag3_f_04	42.9770	(pause 0.45)	43.4267
37	PRV_se0_ag3_f_04	43.4267	We were raised up over the railroad [together.]	46.6880
38	PRV_int_01	46.5271	[Oh] okay.	47.3128
39	PRV_int_01	47.4860	Who is that now?	48.1960
40	PRV_se0_ag3_f_04	48.6409	The /RD-NAME-2/.	49.8006
41	PRV_int_01	49.8716	/RD-NAME-2/.	50.5390
42	PRV_se0_ag3_f_04	50.4491	[Mm-hm.]	51.2396
43	PRV_int_01	50.7047	[Okay] you know the /RD-NAME-2/.	52.1298
44	PRV_se0_ag3_f_04	52.1295	[Mm-hm.]	52.8348
45	PRV_int_01	52.6407	[Okay.]	53.1330
46	PRV_int_01	53.9262	And uh,	54.4611
47	PRV_int_01	54.4611	(pause 0.98)	55.4456
48	PRV_int_01	55.4456	so it- so you guys were raised together over there?	57.9685
49	PRV_se0_ag3_f_04	58.3235	Mm- all us lived over the railroad.	60.9675
50	PRV_int_01	61.0054	Oh [okay. Okay.]	62.4633
51	PRV_se0_ag3_f_04	61.2989	[Mm-hm.]	62.0988
52	PRV_se0_ag3_f_04	62.7284	We went to school.	64.0727
53	PRV_int_01	65.3771	You went to school at ol- /old town/?	67.2137
54	PRV_se0_ag3_f_04	67.1853	Me and her youngest sister, their youngest sister went to school	71.7483
55	PRV_se0_ag3_f_04	72.4043	but she been dead	74.0894
56	PRV_se0_ag3_f_04	74.0894	(pause 0.97)	75.0550
57	PRV_se0_ag3_f_04	75.0550	uh,	75.5520
58	PRV_se0_ag3_f_04	75.5520	(pause 1.60)	77.1499
59	PRV_se0_ag3_f_04	77.1499	right many years.	78.6504
60	PRV_int_01	78.8255	Mkay.	79.2657
61	PRV_int_01	79.2657	(pause 3.14)	82.4087
62	PRV_int_01	82.4087	But still people that you grew up with, they- they still over there?	85.3178
63	PRV_se0_ag3_f_04	85.4077	Mm-hm.	86.0373
64	PRV_int_01	86.0089	Is it, uh-	86.4775
65	PRV_se0_ag3_f_04	86.6858	[Mm.]	87.0171
66	PRV_int_01	86.7473	[it a]	87.0313
67	PRV_int_01	87.5520	husband and wife or?	88.6691
68	PRV_se0_ag3_f_04	88.9058	Mm-mm. They just-	90.0500
69	PRV_se0_ag3_f_04	90.0500	(pause 0.50)	90.5510
70	PRV_se0_ag3_f_04	90.5510	they been married but they-	92.2550
71	PRV_se0_ag3_f_04	92.2550	(pause 2.40)	94.6549
72	PRV_se0_ag3_f_04	94.6549	I know they- they husband dead.	96.9486
73	PRV_int_01	97.0054	Oh [okay. What- what are] their names?	98.8183
74	PRV_se0_ag3_f_04	97.4551	[Mm-hm.]	98.1509
75	PRV_se0_ag3_f_04	99.9496	Uh- /RD-NAME-4/ and /RD-NAME-5/.	103.1521
76	PRV_int_01	103.3699	Oh [okay.]	104.1414
77	PRV_se0_ag3_f_04	103.7399	[Mm-hm.]	104.5390
78	PRV_int_01	105.2017	Kay.	105.5425
79	PRV_int_01	105.5425	(pause 0.68)	106.2194
80	PRV_int_01	106.2194	Do you think they might	106.9626
81	PRV_int_01	106.9626	(pause 0.32)	107.2824
82	PRV_int_01	107.2824	be interested in being interviewed for the study?	109.9663
83	PRV_int_01	109.9663	(pause 0.95)	110.9130
84	PRV_int_01	110.9130	You think?	111.3437
85	PRV_se0_ag3_f_04	112.4135	I don't know. Sometime they	114.1865
86	PRV_se0_ag3_f_04	114.1865	(pause 0.15)	114.3401
87	PRV_se0_ag3_f_04	114.3401	feel bad but I could call /RD-NAME-3/.	117.7555
88	PRV_se0_ag3_f_04	117.7555	(pause 0.27)	118.0253
89	PRV_se0_ag3_f_04	118.0253	Uh-	118.3093
90	PRV_se0_ag3_f_04	118.3093	(pause 0.70)	119.0052
