Line	Spkr	StTime	Content	EnTime
1	PRV_int_01	0.6555	Last one was how high?	1.6163
2	PRV_se0_ag3_m_02	1.6211	Something like about eight or ten feets high	3.8695
3	PRV_int_01	4.0162	Okay.	4.4706
4	PRV_se0_ag3_m_02	4.3570	/how/ high it would get /?/ then.	6.1888
5	PRV_int_01	6.4425	You remember when- when that was?	7.9903
6	PRV_int_01	7.9903	(pause 0.44)	8.4305
7	PRV_int_01	8.4305	The- the- /?/	9.1358
8	PRV_se0_ag3_m_02	9.1074	Wells,	9.7464
9	PRV_se0_ag3_m_02	9.9878	I /always/ said	10.9487
10	PRV_se0_ag3_m_02	10.9487	(pause 0.90)	11.8460
11	PRV_se0_ag3_m_02	11.8460	something like about,	13.1335
12	PRV_se0_ag3_m_02	13.1335	(pause 0.45)	13.5879
13	PRV_se0_ag3_m_02	13.5879	uh-	15.0695
14	PRV_se0_ag3_m_02	15.0695	(pause 1.72)	16.7877
15	PRV_se0_ag3_m_02	16.7877	I would say about ten years back	18.4709
16	PRV_se0_ag3_m_02	18.4709	(pause 0.14)	18.6081
17	PRV_se0_ag3_m_02	18.6081	or something like in that [area.]	19.7190
18	PRV_int_01	19.5879	[Mkay.]	19.8909
19	PRV_int_01	20.2838	So there- so it gotten eight feet high	22.3144
20	PRV_int_01	22.3144	(pause 0.53)	22.8493
21	PRV_int_01	22.8493	at one point, but never real-	24.3052
22	PRV_int_01	24.3052	(pause 0.28)	24.5892
23	PRV_int_01	24.5892	It would always	25.1619
24	PRV_se0_ag3_m_02	25.5453	[Go-]	25.9240
25	PRV_int_01	25.5548	[/inaudible/.]	26.8092
26	PRV_se0_ag3_m_02	26.5110	[Yeah.]	26.7618
27	PRV_se0_ag3_m_02	27.0222	[Yeah.]	27.3156
28	PRV_int_01	27.0222	[/?/]	27.3156
29	PRV_se0_ag3_m_02	27.5523	Oh yeah. It would go up a days- couple days- like that, and go back.	29.9285
30	PRV_int_01	30.4046	Okay.	30.7975
31	PRV_se0_ag3_m_02	31.0247	Open that-	31.3181
32	PRV_se0_ag3_m_02	31.3181	(pause 0.58)	31.8956
33	PRV_se0_ag3_m_02	31.8956	Open that door.	32.4873
34	PRV_se0_ag3_m_02	32.4873	(pause 0.52)	33.0032
