Line	Spkr	StTime	Content	EnTime
1	ROC_int_01	0.1887	So, um,	1.2152
2	ROC_int_01	1.2152	(pause 0.18)	1.3902
3	ROC_int_01	1.3902	you were born and raised i- Well first, let me ask, <laugh> [do you] consent [to-]	5.6226
4	ROC_se0_ag2_f_02	4.4360	[Mm-hm.]	4.7906
5	ROC_se0_ag2_f_02	4.7906	(pause 0.66)	5.4524
6	ROC_se0_ag2_f_02	5.4524	[Yes], I consent [<laugh>]	7.0312
7	ROC_int_01	6.5492	[Okay], [cool.]	7.3387
8	ROC_se0_ag2_f_02	7.1790	[to] the [recording.]	8.1310
9	ROC_int_01	7.7197	[<laugh>]	8.6557
10	ROC_se0_ag2_f_02	8.7219	Just don't ever let me hear it because I hate the way my voice sound [recorded.]	12.0568
11	ROC_int_01	11.5312	[Oh, yeah.]	12.1204
12	ROC_se0_ag2_f_02	12.1324	There we go.	12.5851
13	ROC_int_01	12.6215	[Easy.]	13.0139
14	ROC_se0_ag2_f_02	12.7600	[Alright.]	13.1037
15	ROC_se0_ag2_f_02	13.3212	[<laugh>]	13.9539
16	ROC_int_01	13.4441	[Easy], girl. [<laugh>]	15.2398
17	ROC_se0_ag2_f_02	14.4302	[Okay, perfect.]	15.6262
18	ROC_int_01	16.0517	Okay,	16.5386
19	ROC_int_01	16.5386	(pause 0.27)	16.8081
20	ROC_int_01	16.8081	um, so you were born in Rochester, [New York], right?	19.6974
21	ROC_se0_ag2_f_02	18.8323	[Yes.]	19.2625
22	ROC_se0_ag2_f_02	19.7778	Yup.	20.0000
23	ROC_int_01	20.1749	And	20.7375
24	ROC_int_01	20.7375	(pause 0.15)	20.8887
25	ROC_int_01	20.8887	what part of the city did you grow up in?	22.8678
26	ROC_se0_ag2_f_02	23.1721	Okay, when I was really small,	25.5792
27	ROC_se0_ag2_f_02	25.5792	(pause 0.55)	26.1323
28	ROC_se0_ag2_f_02	26.1323	from what I'm told,	27.2055
29	ROC_se0_ag2_f_02	27.2055	(pause 0.47)	27.6735
30	ROC_se0_ag2_f_02	27.6735	we lived	28.2105
