Line	Spkr	StTime	Content	EnTime
1	ROC_int_01	0.1981	So, um,	1.3738
2	ROC_int_01	1.3738	(pause 0.31)	1.6789
3	ROC_int_01	1.6789	<ts>	1.7507
4	ROC_int_01	1.7507	(pause 0.51)	2.2578
5	ROC_int_01	2.2578	yeah what part of the city I guess (laughing) where y- did you grow up?	5.1279
6	ROC_se0_ag3_m_01	5.1863	<ts>	5.2758
7	ROC_se0_ag3_m_01	5.2758	(pause 0.12)	5.3972
8	ROC_se0_ag3_m_01	5.3972	Uh, it would be southwest Rochester.	7.9711
9	ROC_se0_ag3_m_01	7.9711	(pause 1.65)	9.6180
10	ROC_se0_ag3_m_01	9.6180	And um, I grew up on <exhale> /RD-ADDRESS-5/ Street.	14.3440
11	ROC_se0_ag3_m_01	14.3440	(pause 1.10)	15.4397
12	ROC_se0_ag3_m_01	15.4397	Uh,	16.0859
13	ROC_se0_ag3_m_01	16.0859	(pause 0.29)	16.3776
14	ROC_se0_ag3_m_01	16.3776	we lived on /RD-ADDRESS-2/ Street.	17.7418
15	ROC_se0_ag3_m_01	17.7418	(pause 1.05)	18.7918
16	ROC_se0_ag3_m_01	18.7918	So that was my earliest- uh,	21.3182
17	ROC_se0_ag3_m_01	21.3182	(pause 0.43)	21.7458
18	ROC_se0_ag3_m_01	21.7458	you know,	22.2080
19	ROC_se0_ag3_m_01	22.2080	(pause 0.33)	22.5364
20	ROC_se0_ag3_m_01	22.5364	my childhood all the way up to, you know,	24.7508
21	ROC_se0_ag3_m_01	24.7508	(pause 0.10)	24.8530
22	ROC_se0_ag3_m_01	24.8530	my teenage years.	25.8706
23	ROC_int_01	26.0366	Ah, okay.	26.9161
24	ROC_int_01	26.9161	(pause 0.19)	27.1046
25	ROC_int_01	27.1046	And what was that neighborhood like for like someone who	29.8490
26	ROC_int_01	29.8490	(pause 0.22)	30.0734
27	ROC_int_01	30.0734	is not from Rochester? How would you describe it?	32.1672
28	ROC_se0_ag3_m_01	32.1161	<ts>	32.1704
29	ROC_se0_ag3_m_01	32.2435	Well, I think early, uh,	33.9846
30	ROC_se0_ag3_m_01	33.9846	(pause 0.42)	34.4034
31	ROC_se0_ag3_m_01	34.4034	in my life when, uh,	35.9598
32	ROC_se0_ag3_m_01	35.9598	(pause 0.33)	36.2872
33	ROC_se0_ag3_m_01	36.2872	attending grade school,	37.5484
34	ROC_se0_ag3_m_01	37.5484	(pause 0.16)	37.7099
35	ROC_se0_ag3_m_01	37.7099	uh, the neighborhood was	39.2985
36	ROC_se0_ag3_m_01	39.2985	(pause 0.82)	40.1160
37	ROC_se0_ag3_m_01	40.1160	I thinks	40.5871
38	ROC_se0_ag3_m_01	40.5871	(pause 0.40)	40.9865
39	ROC_se0_ag3_m_01	40.9865	pretty much diverse	42.3544
40	ROC_se0_ag3_m_01	42.3544	(pause 0.14)	42.4949
41	ROC_se0_ag3_m_01	42.4949	at the time,	43.2796
42	ROC_se0_ag3_m_01	43.2796	(pause 0.67)	43.9527
43	ROC_se0_ag3_m_01	43.9527	and, um,	45.0431
44	ROC_se0_ag3_m_01	45.0431	(pause 0.35)	45.3895
45	ROC_se0_ag3_m_01	45.3895	as I started getting older around maybe seventh, eighth grade, uh, people started moving out of the neighborhood,	51.7347
46	ROC_se0_ag3_m_01	51.7347	(pause 0.57)	52.3009
47	ROC_se0_ag3_m_01	52.3009	that, uh, were white and, uh, other ethnicities. And, uh,	56.1331
48	ROC_se0_ag3_m_01	56.1331	(pause 0.77)	56.9026
49	ROC_se0_ag3_m_01	56.9026	<ts>	56.9538
50	ROC_se0_ag3_m_01	56.9538	(pause 0.17)	57.1275
51	ROC_se0_ag3_m_01	57.1275	what-	57.3249
52	ROC_se0_ag3_m_01	57.3249	(pause 0.20)	57.5224
