Line	Spkr	StTime	Content	EnTime
1	VLD_int_01	0.1325	Um.	0.5803
2	VLD_int_01	0.5803	(pause 0.08)	0.6637
3	VLD_int_01	0.6637	So, tell me	1.7964
4	VLD_int_01	1.7964	(pause 0.19)	1.9896
5	VLD_int_01	1.9896	about	2.6174
6	VLD_int_01	2.6174	(pause 0.14)	2.7579
7	VLD_int_01	2.7579	growing up	3.5613
8	VLD_int_01	3.5613	(pause 0.69)	4.2550
9	VLD_int_01	4.2550	um,	4.7950
10	VLD_int_01	4.7950	(pause 1.11)	5.9086
11	VLD_int_01	5.9086	what you remember about Atlanta? Or when you moved to Atlanta, why y'all move to Atlanta.	9.5262
12	VLD_int_01	9.5262	(pause 0.24)	9.7677
13	VLD_int_01	9.7677	So, tell me a little bit about growing up in Atlanta.	11.4272
14	VLD_se0_ag3_m_03	12.9974	Uh, growing up in Atlanta	14.9906
15	VLD_se0_ag3_m_03	14.9906	(pause 0.65)	15.6447
16	VLD_se0_ag3_m_03	15.6447	and uh,	16.2857
17	VLD_se0_ag3_m_03	16.2857	(pause 0.50)	16.7906
18	VLD_se0_ag3_m_03	16.7906	me as a kid, we did a lot of things that kids normally do.	20.2047
19	VLD_se0_ag3_m_03	20.2047	(pause 0.73)	20.9396
20	VLD_se0_ag3_m_03	20.9396	Socialize, hang out,	22.8685
21	VLD_se0_ag3_m_03	22.8685	(pause 0.96)	23.8285
22	VLD_se0_ag3_m_03	23.8285	play ball,	24.8031
23	VLD_se0_ag3_m_03	24.8031	(pause 0.94)	25.7397
24	VLD_se0_ag3_m_03	25.7397	of course, my mom had enrolled me into a lot of um,	29.2669
25	VLD_se0_ag3_m_03	29.2669	(pause 0.38)	29.6440
26	VLD_se0_ag3_m_03	29.6440	sports	30.5220
27	VLD_se0_ag3_m_03	30.5220	(pause 0.34)	30.8645
28	VLD_se0_ag3_m_03	30.8645	but mainly just	31.5664
29	VLD_se0_ag3_m_03	31.5664	(pause 0.12)	31.6893
30	VLD_se0_ag3_m_03	31.6893	baseball, then I played football for one time.	34.1039
31	VLD_se0_ag3_m_03	34.1039	(pause 1.23)	35.3317
32	VLD_se0_ag3_m_03	35.3317	Didn't like the sport. I said, uh, let me get out of this. This ain't for me. I don't like getting hit.	39.8054
33	VLD_se0_ag3_m_03	39.8054	(pause 0.15)	39.9531
34	VLD_se0_ag3_m_03	39.9531	<laugh>	40.4010
35	VLD_se0_ag3_m_03	40.4010	(pause 1.11)	41.5117
36	VLD_se0_ag3_m_03	41.5117	And, of course, she had me into little camps and stuff. Basketball camp, which I had fun.	46.4283
37	VLD_se0_ag3_m_03	46.4283	(pause 0.45)	46.8805
38	VLD_se0_ag3_m_03	46.8805	You know, I think that's something like, most kids should do, go to camps after	50.6326
39	VLD_se0_ag3_m_03	50.6326	(pause 0.32)	50.9575
40	VLD_se0_ag3_m_03	50.9575	school is out for the summer time.	52.7005
